Country;Effect
Austria;-0.052746151
Belgium;-0.013962841
Bulgaria;-0.019421904
Croatia;0.164864454
Cyprus;-0.20126558
Czechia;0.140159238
Denmark;-0.04695085
Estonia;-0.062798702
Finland;-0.046832957
France;0.048518441
Germany;0.089771891
Greece;0.1269621
Hungary;-0.009903188
Iceland;-0.083119698
Ireland;-0.047151656
Italy;0.098525797
Latvia;-0.103793424
Lithuania;-0.04973579
Luxembourg;-0.152954443
Malta;-0.117017084
Netherlands;0.01802192
Norway;-0.107294776
Poland;0.096052476
Portugal;-0.026484986
Romania;0.222494055
Slovakia;0.228095313
Slovenia;0.108944932
Spain;-0.018007836
Sweden;-0.045701303
United Kingdom;-0.039522724
