Bacteria,Year,Code_C,Country,Region,Aminoglycosides,Carbapenems,Ceftazidime,Fluoroquinolones,Piperacilina_taz,r_index,pca_1,multi_R_perc,multi_R_iso,multi._N_iso,DDD_sys_commun,per_cap_US.,GDP_total,GDP_._health,Out_pocket_exp,HDR,ctrl_corrup,GOV_effect,rule_law
Pseudomonas aeruginosa,2005,AT,Austria,Western,0.0649350649,0.1038961038,0.0657894736,0.1428571428,0.1298701298,16.365949999357,-1.15064010841623,0.0649350649,5,77,12.8291,3709,38403.13388,9.63,19.1832602,0.855,1.922060013,1.684594631,1.85919106
Pseudomonas aeruginosa,2005,BG,Bulgaria,Eastern,0.5294117647,0.375,0.4545454545,0.4705882352,0.5,73.2586221579597,4.76529121637303,0.4705882352,16,34,15.5519,267.7,3899.907638,6.94,38.867414,0.75,0.057295028,0.181857437,-0.095587134
Pseudomonas aeruginosa,2005,CY,Cyprus,Southern,0.1081081081,0.1111111111,0.2432432432,0.2702702702,0.2702702702,32.5024328744215,0.527296977161229,0.1891891891,1,8,27.1439,1366,24959.25917,5.44,49.83219802,0.83,0.906868696,1.157761335,0.887087345
Pseudomonas aeruginosa,2005,CZ,Czechia,Eastern,0.2782608695,0.3112840466,0.3968871595,0.453125,0.2062256809,52.3786256782826,2.59410430338614,0.3073929961,79,257,15.5538,852.7,13346.17639,6.38,11.09285206,0.835,0.487307638,0.925236821,0.867527783
Pseudomonas aeruginosa,2005,DE,Germany,Western,0.1196581196,0.2478632478,0.1061946902,0.2260869565,0.1810344827,28.0148765394741,0.0606626271405,0.1623931623,19,117,13.5382,3547,34507.36881,10.23,14.08945024,0.9,1.885012746,1.505680919,1.663715005
Pseudomonas aeruginosa,2005,EE,Estonia,Northern,0.2777777777,0.3783783783,0.1842105263,0.1351351351,0.2702702702,39.5006535164269,1.25500040790202,0.2368421052,9,38,10.3873,524.7,10406.39688,5.09,22.63690233,0.825,1.032414436,0.964996755,0.969764113
Pseudomonas aeruginosa,2005,EL,Greece,Southern,0.3979885057,0.3868194842,0.2734138972,0.3948126801,0.3008595988,54.8490609383317,2.8509902042636,0.3773314203,263,697,31.14,1949,22551.73574,8.63,36.61275208,0.845,0.358235359,0.71530503,0.79458195
Pseudomonas aeruginosa,2005,ES,Spain,Southern,0.0428571428,0.1714285714,0.0571428571,0.1428571428,0.0428571428,14.8124901758137,-1.31217517581967,0.0428571428,3,70,15.4741,2051,26419.29686,7.67,21.95907682,0.844,1.336209059,1.506729841,1.127902031
Pseudomonas aeruginosa,2005,FI,Finland,Northern,0.11,0.1530612244,0.0462962962,0.15625,0.0833333333,17.3272879952523,-1.05067627567917,0.1203703703,13,108,16.9696,3111,39040.28888,8,20.66593766,0.895,2.325073004,2.129371881,1.963108897
Pseudomonas aeruginosa,2005,FR,France,Western,0.2173017507,0.1422764227,0.0850828729,0.2659898477,0.146393972,26.5269472635017,-0.094058307539044,0.1309164149,130,993,24.3146,3574,34760.18777,10.21,7.36894682,0.86,1.366184831,1.67152679,1.418815017
Pseudomonas aeruginosa,2005,HR,Croatia,Southern,0.3472222222,0.2361111111,0.0563380281,0.338028169,0.25,37.4258706181908,1.03925604796768,0.25,18,72,21.1324,727.1,10530.21991,6.91,13.39059621,0.785,0.168619484,0.460783869,0.128532663
Pseudomonas aeruginosa,2005,HU,Hungary,Eastern,0.3188118811,0.1834677419,0.1017964071,0.2776349614,0.1033057851,30.1272353409386,0.280314282241893,0.1420118343,72,507,17.1143,895.2,11200.57695,8,25.80142617,0.802,0.654348493,0.771703482,0.864853382
Pseudomonas aeruginosa,2005,IE,Ireland,Northern,0.0714285714,0.1111111111,0.1034482758,0.1379310344,0.0714285714,16.1136226132987,-1.17687813575169,0.0689655172,2,29,17.7378,3937,50878.22361,7.65,13.55300397,0.893,1.593497992,1.735596895,1.595653057
Pseudomonas aeruginosa,2005,IS,Iceland,Northern,0,0.0769230769,0.0769230769,0,0.0769230769,8.26960283119905,-1.99253119932769,0.0769230769,1,13,20.8906,5213,56658.59267,9.15,17.24506319,0.891,2.311685801,1.973406911,1.951465964
Pseudomonas aeruginosa,2005,LU,Luxembourg,Western,0.0434782608,0.0714285714,0.1,0.1,0.0909090909,13.4841251981598,-1.45030396611708,0,0,1,22.5546,5816,80289.69641,7.18,12.92818785,0.88,1.656579494,1.777104616,1.830680132
Pseudomonas aeruginosa,2005,MT,Malta,Southern,0.1555555555,0.1777777777,0.1111111111,0.4444444444,0.2222222222,34.6409229799666,0.749665871486979,0.1333333333,6,45,15.0163,1380,15857.60316,8.68,28.859061,0.828,0.824055374,0.822761059,1.426871419
Pseudomonas aeruginosa,2005,NL,Netherlands,Western,0.0666666666,0.0481283422,0.0526315789,0.09,0.0434782608,9.80414272915164,-1.83296350269835,0.0523809523,11,210,9.3726,3822,41979.05585,9.1,9.885855764,0.891,1.970571518,1.94267118,1.764358282
Pseudomonas aeruginosa,2005,NO,Norway,Northern,0,0.0344827586,0.03125,0.0449438202,0.0266666666,4.93580239373044,-2.33919332100894,0,0,96,16.4117,5585,66810.47852,8.33,16.71413183,0.932,2.010045767,1.864108086,1.924565315
Pseudomonas aeruginosa,2005,PL,Poland,Eastern,0.56,0.2692307692,0.3076923076,0.3076923076,0.5,60.5522317847989,3.44402909277252,0.3846153846,10,26,17.1904,465.7,8020.963164,5.81,28.04986238,0.808,0.266916394,0.478356808,0.480804861
Pseudomonas aeruginosa,2005,RO,Romania,Eastern,0.6363636363,0.6086956521,0.5217391304,0.6363636363,0.6086956521,94.4395518314692,6.96777038617461,0.652173913,15,23,9.6463,254.5,4617.929016,5.53,18.49896908,0.755,-0.24165462,-0.30682531,-0.138228342
Pseudomonas aeruginosa,2005,SE,Sweden,Northern,0,0.1754385964,0.0469798657,0.0601503759,0.0909090909,12.5494675418962,-1.54749346868131,0.0143884892,2,139,14.4845,3574,43437.06312,8.27,17.11302102,0.899,2.022613049,1.892861724,1.809584975
